time,class
0,0
2.215225,2
4.038671,0
5.163332,2
6.869964,0
8.928636,2
10.66482,0
11.90671,2
13.28602,0
15.40934,2
16.54023,0
18.07307,2
19.6704,0
20.76575,2
22.4549,0
24.05561,2
25.93539,0
27.29468,2
28.87544,0
30.44069,2
32.01909,0
33.44974,2
35.7812,0
37.31992,2
39.23298,0
40.38728,2
41.68138,0
43.02116,2
44.58241,0
46.71418,2
48.08131,0
50.04888,2
51.4173,0
53.37788,2
54.88543,0
56.87057,2
58.61349,0
60.39489,2
61.96625,0
63.82941,2
65.45086,0
67.10654,2
68.83338,0
70.67932,2
72.9082,0
74.88242,2
76.103,0
77.88779,2
79.36167,0
81.18516,2
83.09696,0
85.04216,2
86.5493,0
87.4877,2
90.29438,0
92.05033,2
93.33861,0
95.2002,2
96.86758,0
97.9029,2
99.9351,0
100.7379,2
102.358,0
103.5782,2
105.1753,0
106.7588,2
108.472,0
109.4104,2
110.8096,0
112.268,2
113.6834,0
115.407,2
116.6866,0
118.0717,2
119.3273,0
120.8077,2
122.6974,0
123.7577,2
125.1624,0
126.2315,2
128.1041,0
129.0249,2
130.41,0
131.7198,2
133.1495,0
134.3405,2
135.403,0
137.1126,2
138.3774,0
140.8531,2
141.9144,0
143.4206,2
144.928,0
146.2658,2
147.9381,0
149.4266,2
150.8591,0
152.102,2
153.6003,0
155.1027,2
156.78,0
158.1037,2
159.8765,0
161.3078,2
162.9302,0
164.4383,2
165.8782,0
167.6508,2
169.0521,0
170.5831,2
172.223,0
173.7927,2
175.2975,0
176.7152,2
177.9237,0
179.1534,2
180.4226,0
181.8278,2
183.1939,0
184.8812,2
186.3425,0
