time,class
0,0
2.323934,1
3.918886,0
7.111593,1
8.613196,0
11.72407,1
13.40731,0
16.31091,1
17.93169,0
20.73932,1
22.79335,0
25.18084,1
26.87702,0
29.53766,1
31.79898,0
33.12356,1
35.51693,0
38.73776,1
41.20747,0
42.52522,1
44.02284,0
46.5425,1
48.14417,0
50.42589,1
51.64387,0
53.80976,1
55.60155,0
57.0023,1
58.53414,0
60.76694,1
62.58361,0
64.43209,1
66.2835,0
68.95564,1
70.83551,0
72.48403,1
74.27996,0
77.47178,1
79.1099,0
80.97685,1
82.9932,0
85.07197,1
86.46284,0
88.55512,1
90.08662,0
92.09537,1
94.05426,0
96.00088,1
97.80005,0
99.5655,1
101.3033,0
102.8766,1
105.0547,0
106.4026,1
108.2598,0
110.8221,1
112.3252,0
114.7752,1
116.3134,0
118.4022,1
120.1105,0
121.9311,1
123.6972,0
125.8983,1
127.8993,0
130.0745,1
131.6661,0
134.2506,1
135.8017,0
138.0176,1
140.1961,0
141.8154,1
143.7752,0
146.0625,1
147.5674,0
149.0702,1
150.8475,0
152.6045,1
154.0375,0
156.687,1
158.2566,0
160.3778,1
162.4085,0
164.2774,1
165.5921,0
167.5921,1
169.3626,0
170.7999,1
172.631,0
173.796,1
175.4297,0
176.8404,1
178.2883,0
180.134,1
181.8911,0
183.2746,1
185.4888,0
186.7857,1
188.9481,0
190.2685,1
192.1054,0
193.4775,1
195.6049,0
196.3439,1
198.185,0
199.5666,1
201.5959,0
203.1018,1
204.7675,0
206.9361,1
208.4654,0
210.1091,1
211.5003,0
213.3669,1
214.8522,0
216.4109,1
218.5072,0
219.7921,1
221.9564,0
223.5319,0
