time,class
0,0
2.584567,3
4.3583727,0
6.03518,3
7.493588,0
8.779533,3
10.84925,0
11.91618,3
14.22395,0
15.06745,3
16.97054,0
18.85665,3
19.99262,0
21.33757,3
22.83523,0
23.95794,3
25.15762,0
26.71195,3
28.52183,0
30.39799,3
31.5542,0
32.92473,3
33.59601,0
35.5761,3
36.50091,0
37.76615,3
38.9734,0
40.83595,3
42.06124,0
43.25399,3
45.35297,0
46.94316,3
48.21848,0
49.51498,3
51.28492,0
53.453,3
53.35799,0
55.47328,3
56.706,0
58.16717,3
59.20527,0
61.01863,3
62.03307,0
62.74649,3
63.35962,0
63.94004,3
65.11201,0
66.39127,3
68.12432,0
69.49497,3
70.83669,0
71.91099,3
73.47245,0
75.20331,3
76.11811,0
77.8014,3
79.6717,0
81.11185,3
82.39208,0
83.9518,3
85.00099,0
86.60594,3
87.85177,0
89.48094,3
90.81525,0
92.54994,3
93.78471,0
95.27286,3
96.85947,0
98.6172,3
99.7799,0
101.3432,3
102.9307,0
104.5288,3
105.7367,0
107.2355,3
108.7572,0
110.1814,3
111.3085,0
113.4564,3
114.9062,0
116.3353,3
117.9657,0
119.4485,3
120.8718,0
122.8658,3
124.4852,0
126.0542,3
127.9744,0
130.2907,3
131.5433,0
133.1105,3
135.4026,0
136.6376,3
138.2035,0
139.6445,3
141.0178,0
143.2265,3
144.0292,0
146.4076,3
147.8242,0
149.6912,3
151.1424,0
152.4895,3
153.9939,0
155.2481,3
156.6564,0
158.3509,3
159.7511,0
161.6993,3
162.2796,0
164.3969,3
166.1873,0
167.9995,3
169.3304,0
171.1724,3
172.6938,0
174.402,3
175.8463,0
177.6713,3
179.1032,0
180.4641,3
181.2128,0
189.7099,0
